<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;60;20210224;220000;271.7000000
SBER;60;20210224;230000;271.4100000
SBER;60;20210225;000000;271.9000000
SBER;60;20210225;110000;272.8600000
SBER;60;20210225;120000;274.7200000
SBER;60;20210225;130000;275.3800000
SBER;60;20210225;140000;275.1900000
SBER;60;20210225;150000;273.1000000
SBER;60;20210225;160000;272.6400000
SBER;60;20210225;170000;272.9100000
SBER;60;20210225;180000;275.9900000
SBER;60;20210225;190000;275.1900000
SBER;60;20210225;200000;273.1200000
SBER;60;20210225;210000;272.6000000
SBER;60;20210225;220000;272.2800000
SBER;60;20210225;230000;272.8300000
SBER;60;20210226;000000;270.7100000
SBER;60;20210226;110000;269.0500000
SBER;60;20210226;120000;271.1000000
SBER;60;20210226;130000;270.6000000
SBER;60;20210226;140000;269.7900000
SBER;60;20210226;150000;269.1600000
SBER;60;20210226;160000;269.6800000
SBER;60;20210226;170000;270.3200000
SBER;60;20210226;180000;270.8100000
SBER;60;20210226;190000;270.0300000
SBER;60;20210226;200000;269.3700000
SBER;60;20210226;210000;269.5900000
SBER;60;20210226;220000;269.7100000
SBER;60;20210226;230000;269.6800000
SBER;60;20210227;000000;270.1700000
SBER;60;20210301;110000;271.8600000
SBER;60;20210301;120000;272.3800000
SBER;60;20210301;130000;272.3200000
SBER;60;20210301;140000;272.5400000
SBER;60;20210301;150000;271.7000000
SBER;60;20210301;160000;272.5400000
SBER;60;20210301;170000;271.8000000
SBER;60;20210301;180000;273.8500000
SBER;60;20210301;190000;274.2700000
SBER;60;20210301;200000;273.9100000
SBER;60;20210301;210000;273.3700000
SBER;60;20210301;220000;273.5900000
SBER;60;20210301;230000;273.8300000
SBER;60;20210302;000000;273.5800000
SBER;60;20210302;110000;272.3400000
SBER;60;20210302;120000;273.4200000
SBER;60;20210302;130000;274.5400000
SBER;60;20210302;140000;274.3000000
SBER;60;20210302;150000;277.1500000
SBER;60;20210302;160000;277.5300000
SBER;60;20210302;170000;278.3100000
SBER;60;20210302;180000;279.5200000
SBER;60;20210302;190000;279.2000000
SBER;60;20210302;200000;278.8000000
SBER;60;20210302;210000;279.3500000
SBER;60;20210302;220000;279.4500000
SBER;60;20210302;230000;279.0000000
SBER;60;20210303;000000;279.1000000
SBER;60;20210303;110000;281.0400000
SBER;60;20210303;120000;281.9300000
SBER;60;20210303;130000;282.8400000
SBER;60;20210303;140000;283.0300000
SBER;60;20210303;150000;283.6300000
SBER;60;20210303;160000;283.2900000
SBER;60;20210303;170000;280.2300000
SBER;60;20210303;180000;279.0600000
SBER;60;20210303;190000;278.8800000
SBER;60;20210303;200000;279.7000000
SBER;60;20210303;210000;279.4500000
SBER;60;20210303;220000;279.6300000
SBER;60;20210303;230000;278.3000000
SBER;60;20210304;000000;278.0100000
SBER;60;20210304;110000;277.8100000
SBER;60;20210304;120000;275.8200000
SBER;60;20210304;130000;276.5200000
SBER;60;20210304;140000;276.5400000
SBER;60;20210304;150000;276.8900000
SBER;60;20210304;160000;276.5900000
SBER;60;20210304;170000;278.1300000
SBER;60;20210304;180000;280.1000000
SBER;60;20210304;190000;279.8400000
SBER;60;20210304;200000;280.9100000
SBER;60;20210304;210000;279.9400000
SBER;60;20210304;220000;277.1100000
SBER;60;20210304;230000;275.5300000
SBER;60;20210305;000000;274.7500000
SBER;60;20210305;110000;278.1300000
SBER;60;20210305;120000;275.7600000
SBER;60;20210305;130000;274.8900000
SBER;60;20210305;140000;276.0200000
SBER;60;20210305;150000;274.2500000
SBER;60;20210305;160000;274.4000000
SBER;60;20210305;170000;274.5000000
SBER;60;20210305;180000;275.5400000
SBER;60;20210305;190000;275.4400000
SBER;60;20210305;200000;275.7400000
SBER;60;20210305;210000;276.3500000
SBER;60;20210305;220000;276.5500000
SBER;60;20210305;230000;276.9900000
SBER;60;20210306;000000;277.5000000
SBER;60;20210309;110000;280.9300000
SBER;60;20210309;120000;282.9100000
SBER;60;20210309;130000;282.4700000
SBER;60;20210309;140000;283.6500000
SBER;60;20210309;150000;284.5400000
SBER;60;20210309;160000;284.1300000
SBER;60;20210309;170000;284.8900000
SBER;60;20210309;180000;285.7100000
SBER;60;20210309;190000;284.7200000
SBER;60;20210309;200000;285.3800000
SBER;60;20210309;210000;284.9900000
SBER;60;20210309;220000;285.7500000
SBER;60;20210309;230000;285.6400000
SBER;60;20210310;000000;285.7900000
SBER;60;20210310;110000;284.3900000
SBER;60;20210310;120000;287.1000000
SBER;60;20210310;130000;286.6200000
SBER;60;20210310;140000;283.8000000
SBER;60;20210310;150000;283.5200000
SBER;60;20210310;160000;283.9900000
SBER;60;20210310;170000;284.6700000
SBER;60;20210310;180000;284.5500000
SBER;60;20210310;190000;281.6600000
SBER;60;20210310;200000;281.5800000
SBER;60;20210310;210000;282.1600000
SBER;60;20210310;220000;282.5800000
SBER;60;20210310;230000;283.0400000
SBER;60;20210311;000000;282.2400000
